gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000057513;5787,24231;-0,602189534;0,099258067;36,68756139;1,39E-09;1,71E-08;mdm4
ENSDARG00000112352;789,757612;1,480811625;0,234925323;36,67839125;1,39E-09;1,72E-08;CABZ01093429,1
ENSDARG00000016605;3124,083492;1,640301634;0,262950914;36,6762299;1,39E-09;1,72E-08;pimr110
ENSDARG00000041830;8458,756374;-0,996804292;0,163673916;36,6477429;1,42E-09;1,75E-08;tsn
ENSDARG00000037244;1638,610608;0,749232671;0,123128302;36,64244124;1,42E-09;1,75E-08;gpr137
ENSDARG00000079474;1263,401518;0,742524132;0,122173322;36,62793503;1,43E-09;1,76E-08;MSANTD2
ENSDARG00000105806;187,4418175;1,743934851;0,28330174;36,60855842;1,44E-09;1,78E-08;CABZ01069020,1
ENSDARG00000070396;36,94785914;-3,244292335;0,54201331;36,60517736;1,45E-09;1,78E-08;serpinb1l2
ENSDARG00000003421;586,2228165;-1,065976252;0,175177607;36,60201524;1,45E-09;1,78E-08;igf2bp2a
ENSDARG00000097168;159,9540481;1,505203914;0,24469065;36,59634855;1,45E-09;1,79E-08;CR749752,1
ENSDARG00000070991;175,3235525;-2,236159161;0,354297336;36,54311646;1,49E-09;1,84E-08;mlpha
ENSDARG00000043102;2539,03156;0,978228485;0,160442835;36,54208902;1,49E-09;1,84E-08;lxn
ENSDARG00000017466;88,48697669;-2,003820484;0,328898185;36,53751787;1,50E-09;1,84E-08;ncam2
ENSDARG00000001244;17143,8216;-0,673854292;0,111290648;36,50119323;1,53E-09;1,87E-08;srrm1
ENSDARG00000078458;7930,520694;0,872764277;0,143791366;36,50164947;1,53E-09;1,87E-08;ppp1r37
ENSDARG00000060256;824,2507244;-0,840329749;0,13839884;36,47928462;1,54E-09;1,89E-08;alkbh8
ENSDARG00000017602;5083,196785;1,220564707;0,199817674;36,47717908;1,54E-09;1,89E-08;ccng2
ENSDARG00000012968;371,9152661;-1,63655466;0,266568206;36,47277282;1,55E-09;1,90E-08;rhoub
ENSDARG00000093432;2051,928951;1,384585304;0,225897093;36,43961101;1,57E-09;1,93E-08;si:ch211-9n13,3
ENSDARG00000060521;3160,107918;1,061459472;0,174206822;36,43046038;1,58E-09;1,94E-08;rbm27
ENSDARG00000057151;11412,17811;1,069267981;0,175614314;36,42679445;1,59E-09;1,94E-08;prep
ENSDARG00000000551;742,1270856;-0,976412087;0,161111917;36,41541858;1,59E-09;1,95E-08;slc1a4
