gene_id;base_mean;log2FoldChange;lfcSE;stat;p_value;adj_p_value;gene_name
ENSDARG00000032277;329,639256;-0,170348272;0,264150377;0,420007762;0,516933171;0,848119435;rars2
ENSDARG00000040004;273,7380239;0,522024087;0,746325673;0,419989571;0,516942248;0,848119435;PKHD1L1
ENSDARG00000045592;22,1085162;-0,493017413;0,749664859;0,419975385;0,516949327;0,848119435;tnni2a,1
ENSDARG00000105448;61,82550781;0,313840123;0,482457605;0,420154624;0,5168599;0,848119435;CR548622,3
ENSDARG00000079931;1612,280718;-0,196554842;0,312402709;0,419904035;0,516984933;0,848119573;snx19b
ENSDARG00000093971;117,5448658;-0,259428904;0,410780659;0,419690513;0,517091513;0,848236136;BX548247,1
ENSDARG00000026582;1269,078582;0,204786118;0,308724986;0,419615372;0,517129029;0,848239399;iscub
ENSDARG00000003165;252,992711;0,267449237;0,408845503;0,419178503;0,51734724;0,848244697;nr2f6b
ENSDARG00000006617;725,9104091;-0,155561243;0,243548353;0,418627067;0,517622907;0,848244697;napga
ENSDARG00000008472;1964,817079;-0,182838387;0,279771539;0,418732428;0,517570217;0,848244697;apex2
ENSDARG00000013800;1541,77931;0,244167965;0,360562403;0,418471562;0,517700692;0,848244697;snrpd3
ENSDARG00000034187;1569,635014;-0,214339267;0,330227859;0,418954736;0,517459072;0,848244697;calm1b
ENSDARG00000052950;757,0587277;-0,234948389;0,368742737;0,418574951;0,517648974;0,848244697;arhgap23a
ENSDARG00000053462;59,44903824;-0,288306731;0,446766182;0,419147603;0,51736268;0,848244697;c3a,5
ENSDARG00000056008;3712,329875;0,161266458;0,248324799;0,418574292;0,517649304;0,848244697;atp5mc1
ENSDARG00000056678;1460,310708;-0,210398243;0,329253042;0,418790937;0,51754096;0,848244697;trim47
ENSDARG00000068289;4602,922608;0,196827124;0,298179577;0,418569659;0,517651621;0,848244697;eif3k
ENSDARG00000071669;506,7525386;-0,195884202;0,301110217;0,418541211;0,51766585;0,848244697;smyd5
ENSDARG00000077641;430,5481968;-0,278243459;0,419578681;0,419174676;0,517349153;0,848244697;thbs3a
ENSDARG00000088140;723,3201728;0,220173744;0,341612419;0,418830463;0,517521198;0,848244697;hsd17b7
ENSDARG00000089831;415,914083;-0,390522792;0,6064731;0,419368125;0,517252506;0,848244697;si:dkey-207m2,4
ENSDARG00000095254;14,81650134;-0,650450876;1,025197326;0,418635688;0,517618596;0,848244697;si:dkey-239j18,2
